title;rgroup;year;status;journal;author;role;yrs_empl
A general framework for animal density estimation from acoustic detections across a fixed microphone array;e;2015;4;Methods in Ecology and Evolution;altwegg;ap;4
A system dynamics approach to modelling multiple drivers of the African penguin population on Robben Island  South Africa;e;2014;4;Ecological Modelling;altwegg;ap;4
A variational bayes approach to the analysis of occupancy models;e;2016;6;Public Library of Science ONE;altwegg;ap;4
Age-specific survival and movement among major African Penguin colonies.;e;2014;1;Ibis;altwegg;ap;4
Age-specific survival and movement among major African Penguin Spheniscus demersus colonies;e;2014;4;Ibis;altwegg;ap;4
Age, sex and social influences on adult survival in the cooperatively breeding Karoo Scrub-robin;e;2016;6;Emu;altwegg;ap;4
Bottom-up effects of a no-take zone on endangered penguin demographics;e;2015;4;Biology Letters;altwegg;ap;4
Climatic influences on survival of migratory African Reed Warblers Acrocephalus baeticatus in South Africa;e;2015;4;Ardea;altwegg;ap;4
Counting chirps: acoustic monitoring of cryptic frogs;e;2017;3;Journal of Applied Ecology;altwegg;ap;4
Coupled range dynamics of brood parasites and their hosts responding to climate and vegetation changes;e;2016;3;NA;altwegg;ap;4
Coupled range dynamics of brood parasites and their hosts responding to climate and vegetation changes.;e;2016;3;Journal of Animal Ecology;altwegg;ap;4
Departures from the Energy-Biodiversity relationship in South African Passerines: are the legacies of past climates mediated by behavioral constraints on dispersal?;e;2015;4;Public Library of Science ONE;altwegg;ap;4
Do projections from bioclimatic envelope models and climate change metrics match?;e;2016;6;Global Ecology and Biogeography;altwegg;ap;4
Does seasonality drive spatial patterns in demography? Variation in survival in African reed warblers Acrocephalus baeticatus across southern Africa does not reflect global patterns;e;2014;4;Ecology and Evolution;altwegg;ap;4
Drivers of Bird Species Richness within Moist High-Altitude Grasslands in Eastern South Africa;e;2016;6;Public Library of Science ONE;altwegg;ap;4
Dynamic occupancy models for explicit colonization processes;e;2016;6;Ecology;altwegg;ap;4
Early warning systems for biodiversity in southern Africa - How much can science mitigate imperfect data?;e;2017;7;NA;altwegg;ap;4
Environmental drivers of an urban Hadeda Ibis population;e;2014;4;Ardea;altwegg;ap;4
Estimating conservation metrics from atlas data: the case of southern African endemic birds;e;2017;4;Bird Conservation International;altwegg;ap;4
Explaining patterns of avian diversity and endemicity: Climate and biomes of southern Africa over the last 140,000 years;e;2016;6;Journal of Biogeography;altwegg;ap;4
Fire-mediated disruptive selection can explain the reseeder-resprouter dichotomy in Mediterranean-type vegetation;e;2015;4;Oecologia;altwegg;ap;4
Frog eat frog: exploring variables influencing anurophagy;e;2015;4;PeerJ;altwegg;ap;4
Functional responses can't unify invasion ecology;e;2017;3;Biological Invasions;altwegg;ap;4
Identifying ecological and life-history drivers of population dynamics of wetland birds in South Africa.;e;2017;4;Global Ecology and Conservation;altwegg;ap;4
Incorporating species detectability into conservation targets based on the species-area relationship;e;2016;6;Diversity and Distributions;altwegg;ap;4
Learning from single extreme events;e;2017;4;Philosophical Transactions B: Biological Sciences;altwegg;ap;4
Low bird diversity in the Fynbos plant diversity hotspot: Quaternary legacies in the current distributions of passerine birds;e;2015;4;Ecography;altwegg;ap;4
Management factors affecting densities of‘_common grassland birds of‘_high elevation grasslands of‘_eastern South Africa: Ingula as‘_a case study;e;2017;3;Avian Research;altwegg;ap;4
Movement patterns and survival estimates of Blue Cranes in the Western Cape;e;2017;3;Ostrich: Journal of African Ornithology;altwegg;ap;4
Patterns of bird migration phenology in South Africa suggest northern hemisphere climate as the most consistent driver of change;e;2015;4;Global Change Biology;altwegg;ap;4
Penguins' perilous conservation status calls for complementary approach based on sound ecological principles: reply to Butterworth et al. (2015);e;2016;6;Ecological Modelling;altwegg;ap;4
Roles of Spatial Scale and Rarity on the Relationship between Butterfly Species Richness and Human Density in South Africa;e;2015;4;Public Library of Science ONE;altwegg;ap;4
South temperate birds have higher apparent adult survival than tropical birds in Africa;e;2014;4;Journal of Avian Biology;altwegg;ap;4
Spatial occupancy models applied to atlas data show Southern ground hornbills strongly depend on protected areas;e;2014;4;Ecological Appplications;altwegg;ap;4
The abundant centre syndrome and species distributions: insights from closely related species pairs in southern Africa;e;2015;4;Global Ecology and Biogeography;altwegg;ap;4
The COMPADRE Plant Matrix Database: an open online repository for plant demography;e;2015;4;Journal of Ecology;altwegg;ap;4
The second Southern African Bird Atlas Project: Causes and consequences of geographical sampling bias;e;2017;4;Ecology and Evolution;altwegg;ap;4
Twenty-five years of change in southern African passerine diversity: nonclimatic factors of change;e;2015;4;Global Change Biology;altwegg;ap;4
"A comment on ""portfolio rebalancing in South Africa""";f;2015;4;SA Journal of Accounting Research;barr;p;4
Nelson siegel parameterisation of the south african sovereign yield curve: A link to the rand exchange rate and JSE sectors;f;2016;6;Journal for Studies in Economics and Econometrics;barr;p;4
"A comment on ""portfolio rebalancing in South Africa""";f;2015;4;SA Journal of Accounting Research;bradfield;p;4
A note on the predictive power of the variance risk premium: South African evidence benchmarked against the USA;f;2016;6;Journal for Studies in Economics and Econometrics;bradfield;p;4
CORRELATION SURPRISE: THE AFRICAN AND SOUTH AFRICAN CASE;f;2015;4;African Finance Journal;bradfield;p;4
Low volatility sector-based portfolios: A South African case;f;2016;6;Orion: Journal of the Operations Research of South Africa;bradfield;p;4
Putting the squeeze on the sample covariance matrix for portfolio construction;f;2016;6;Investment Analysts Journal;bradfield;p;4
Raising the bar on the foreign portfolio to 25 per cent: strategic implications for South African investors;f;2015;4;South African Journal of Economic and Management Sciences;bradfield;p;4
The number of stocks required for effective portfolio diversification: the South African case;f;2017;4;SA Journal of Accounting Research;bradfield;p;4
The role of gold bullion in South African balanced portfolios;f;2016;6;SA Journal of Accounting Research;bradfield;p;4
The role of South African property in balanced portfolios;f;2015;4;SA Journal of Accounting Research;bradfield;p;4
NA;;NA;NA;NA;britz;l;3
A variational bayes approach to the analysis of occupancy models;e;2016;6;Public Library of Science ONE;clark;sl;4
Age-specific survival and movement among major African Penguin colonies.;e;2014;1;Ibis;clark;sl;4
Age-specific survival and movement among major African Penguin Spheniscus demersus colonies;e;2014;4;Ibis;clark;sl;4
Dependent bootstrapping for value-at-risk and expected shortfall;f;2017;1;Risk Management;clark;sl;4
The construction of optimal designs for dose-escalation studies;des;2014;4;Statistics and Computing;clark;sl;4
Using Bayesian change-point models to assess changes in customer loyalty over time;oth;2014;4;Management dynamics: journal of the South African Institute for Management Scientists / Bestuursdinamika;clark;sl;4
A continuous-time formulation for spatial capture-recapture models;e;2016;7;NA;distiller;sl;4
A spatially explicit capture-recapture estimator for single-catch traps;e;2015;4;Ecology and Evolution;distiller;sl;4
Continuous-time spatially explicit capture-recapture models  with an application to a jaguar camera-trap survey;e;2014;4;Methods in Ecology and Evolution;distiller;sl;4
A model for assessment: integrating external monitoring with classroom-based practice;edu;2014;4;Perspectives in Education;dunne;ap;2
A regional and social dialectology of the BATH vowel in South African English;edu;2015;4;Language Variation and Change;dunne;ap;2
Investigating the treatment of missing data in an Olympiad-type test - the case of the selection validity in the South African Mathematics Olympiad;edu;2016;6;Pythagoras;dunne;ap;2
Blow me down: a new perspective on Aloe dichotoma mortality from windthrow;e;2014;4;BMC Ecology;durbach;ap;4
Climate change sentinel or false prophet? The case of Aloe dichotoma;e;2016;6;Diversity and Distributions;durbach;ap;4
Dealing with uncertainties in MCDA;or;2016;6;NA;durbach;ap;4
Decision support for evaluating player performance in rugby union;or;2015;4;International Journal of Sports Science and Coaching;durbach;ap;4
Do teas rich in antioxidants reduce the physicochemical and peroxidative risk factors for calcium oxalate nephrolithiasis in humans? Pilot studies with Rooibos herbal tea and Japanese green tea;oth;2016;6;Urolithiasis;durbach;ap;4
Eliminating order effects in association tasks without using randomisation;oth;2015;4;International Journal of Market Research;durbach;ap;4
Modelling uncertainty in stochastic multicriteria acceptability analysis;or;2016;6;Omega;durbach;ap;4
On the validity of team performance indicators in rugby union;or;2017;3;International Journal of Performance Analysis in Sport;durbach;ap;4
The analytic hierarchy process with stochastic judgements;or;2014;4;European Journal of Operational Research;durbach;ap;4
Using Bayesian change-point models to assess changes in customer loyalty over time;oth;2014;4;Management dynamics: journal of the South African Institute for Management Scientists / Bestuursdinamika;durbach;ap;4
Spatial Dependence in Financial Data: Importance of the Weights Matrix;f;2016;1;NA;er;l;4
Teacher perceptions on the use of digital gamified learning in tourism education: The case of South African secondary schools;edu;2017;3;Computers and Education;er;l;4
Declines in migrant shorebird populations from a winter-quarter perspective;e;2015;4;Conservation Biology;erni;sl;4
Herbivory by subterranean termite colonies and the development of fairy circles in SW Namibia;e;2015;4;Ecological Entomology;erni;sl;4
Identifying ecological and life-history drivers of population dynamics of wetland birds in South Africa.;e;2017;4;Global Ecology and Conservation;erni;sl;4
Learning from single extreme events;e;2017;4;Philosophical Transactions B: Biological Sciences;erni;sl;4
The flight feather moult pattern of the bearded vulture (Gypaetus barbatus);e;2016;6;Journal fÍ_r Ornithologie;erni;sl;4
Weaknesses in the plant competition hypothesis for fairy circle formation and evidence supporting the sand termite hypothesis;e;2015;4;Ecological Entomology;erni;sl;4
An empirically tested overlap between indigenous and scientific knowledge of a changing climate in Bolivizn Amazonia;e;2017;3;Regional Environmental Change;garcia;pdoc;2
Do projections from bioclimatic envelope models and climate change metrics match?;e;2016;6;Global Ecology and Biogeography;garcia;pdoc;2
NA;;NA;NA;NA;gebbie;ap;1
Automatic classification of whistles from coastal dolphins of the southern African subregion;e;2017;3;Journal of the Acoustical Society of America;gridley;pdoc;2
Affordable moisturisers are effective in atopic eczema: a randomised controlled trial;b;2015;4;NA;gumedze;sl;4
Clinical features, spectrum of causal genetic mutations and outcome of hypertrophic cardiomyopathy in South Africans;b;2016;6;Cardiovascular Journal of Africa;gumedze;sl;4
CONSORT 2010 statement: Extension to randomised pilot and feasibility trials;b;2016;6;BMJ-British Medical Journal;gumedze;sl;4
Detection of outliers in longitudinal count data via overdispersion;b;2014;4;Computational Statistics and Data Analysis;gumedze;sl;4
Geometric classification of scalp hair for valid drug testing, 6 more reliable than 8 hair curl groups;b;2017;3;Public Library of Science ONE;gumedze;sl;4
Higher concentrations of dithranol appear to induce hair growth even in severe alopecia areata;b;2017;4;Dermatologic Therapy;gumedze;sl;4
Interventions for treating tuberculous pericarditis;b;2017;7;Cochrane Database of Systematic Reviews;gumedze;sl;4
Pregnancy-associated heart failure: a comparison of clinical presentation and outcome between hypertensive heart failure of pregnancy and idiopathic peripartum cardiomyopathy;b;2015;4;Public Library of Science ONE;gumedze;sl;4
Tuberculous Pericarditis is Multibacillary and Bacterial Burden Drives High Mortality;b;2015;3;EBioMedicine;gumedze;sl;4
A comparison of plug-in predictors for lognormal kriging;geo;2016;6;Spatial Statistics;haines;ep;4
A Note on the Royle_„_Nichols Model for Repeated Detection_„_Nondetection Data;e;2016;6;Journal of Agricultural, Biological, and Environmental Statistics;haines;ep;4
A-and D-optimal row-column designs for two-colour cDNA microarray experiments using linear mixed effects models;des;2015;4;South African Statistical Journal;haines;ep;4
Array-based schemes for group screening with test errors which incorporate a concentration effect;des;2015;4;Journal of Statistical Planning and Inference;haines;ep;4
Introduction to Linear Models;oth;2015;4;NA;haines;ep;4
Maximum likelihood estimation for N-mixture models;oth;2016;6;Biometrics;haines;ep;4
Properties of a- and d-optimal row-column designs for two-colour cdna microarray experiments: robustness against missing arraays and efficiency;des;2015;4;NA;haines;ep;4
Start-up designs for response-adaptive randomization procedures with sequential estimation;des;2015;4;Statistics in Medicine;haines;ep;4
The Altham-Poisson distribution;oth;2015;4;Statistical Modelling;haines;ep;4
